,acc
979,1.0
980,0.95
981,1.0
982,0.85
983,0.95
984,0.95
985,0.9
986,0.95
987,0.95
988,0.95
989,1.0
990,0.95
991,0.95
992,0.9
993,1.0
994,0.9
995,0.95
996,0.95
997,0.95
998,0.95
999,0.95
